key	value	valueType	codeUnitOffset	literalReferenceMethodCount	nonConfigMapReferenceMethodCount	productConfigReference
FEATURE_CAMERA_FRONT_DEFAULT_CROP_RATIO	0.2	float	0006	9	1	True
FEATURE_CAMERA_SUPER_NIGHT	true	boolean	000f	7	1	True
FEATURE_CAMERA_DISTORTION_CORRECTION	true	boolean	0016	9	1	True
FEATURE_CAMERA_DEFAULT_SUPPORT_SAT	true	boolean	001d	8	1	True
FEATURE_MEDIA_VIDEO_STABILIZATION_SUPPORTED_FRONT	true	boolean	0024	8	1	True
FEATURE_CAMERA_SOUND_FORCED_JA_OR_KR	true	boolean	002b	3	1	True
FEATURE_CAMERA_SUPER_RESOLUTION	true	boolean	0032	8	1	True
FEATURE_CAMERA_SUPER_RESOLUTION_RAW	false	boolean	003b	8	1	True
FEATURE_CAMERA_BAYER_PATTERN_FRONT	RGGB	string	0044	8	1	True
FEATURE_CAMERA_BAYER_PATTERN_REAR	RGGB	string	004b	7	1	True
FEATURE_CAMERA_MORPHO_BAYER_PATTERN_FRONT	72	integer	0054	7	1	True
FEATURE_CAMERA_MORPHO_BAYER_PATTERN_REAR	72	integer	005b	7	1	True
FEATURE_CAMERA_MOTION_CAPTURE	false	boolean	0062	8	1	True
FEATURE_CAMERA_SUPER_RESOLUTION_INSENSORZOOM	false	boolean	0069	8	1	True
FEATURE_FRONT_CAMERA_ZOOM	true	boolean	0070	8	1	True
FEATURE_FRONT_TIME_LAPSE	false	boolean	0077	8	1	True
FEATURE_VIDEO_STABILIZATION_ALWAYS_ON	true	boolean	007e	8	1	True
FEATURE_CAMERA_NIGHT_VIDEO_FRONT	true	boolean	0085	8	1	True
FEATURE_CAMERA_VIDEO_SHDR	false	boolean	008c	4	1	True
FEATURE_CAMERA_VIDEO_SHDR_FRONT	false	boolean	0093	8	1	True
FEATURE_CAMERA_MAX_ZOOM	20	integer	009c	10	1	True
FEATURE_CAMERA_SUPER_NIGHT_SEAMLESS_SWITCH	true	boolean	00a3	8	1	True
FEATURE_CAMERA_PORTRAIT_REPAIR	true	boolean	00aa	7	1	True
FEATURE_CAMERA_SUPER_PORTRAIT	true	boolean	00b1	9	1	True
FEATURE_CAMERA_VIDEO_30FPS_LOWER_LIMIT	24	integer	00ba	9	1	True
FEATURE_CAMERA_VIDEO_60FPS_LOWER_LIMIT	60	integer	00c3	8	1	True
FEATURE_CAMERA_PHOTO_BEAUTY_FRONT	true	boolean	00ca	8	1	True
FEATURE_CAMERA_VIDEO_SUPER_EIS_SUPPORTED	false	boolean	00d1	8	1	True
FEATURE_CAMERA_TURBONIGHT	false	boolean	00d8	8	1	True
FEATURE_CAMERA_4K_60FPS_SAT_SUPPORT	false	boolean	00df	8	1	True
FEATURE_CAMERA_FRONT_CAPTURE_DOWNSCALE	true	boolean	00e6	9	1	True
FEATURE_CAMERA_BOKEH_2X	true	boolean	00ed	8	1	True
FEATURE_CAMERA_QCOM_OFFLINE_MMF	true	boolean	00f4	8	1	True
FEATURE_LOCAL_HDR	true	boolean	00fb	7	1	True
FEATURE_MEDIA_CAMERA_SUPER_MACRO_MODE_SUPPORTED	false	boolean	0102	7	1	True
