dex	class	name	type	kind	flags	priority
classes4.dex	com.arcsoft.camera.burstpmk.BurstPMKEngine	mEngine	J	instance	2	HIGH_CAMERA_ROUTING_OR_ISP
classes4.dex	com.arcsoft.camera.burstpmk.BurstPMKEngine	mEventHandler	Lcom/arcsoft/camera/burstpmk/BurstPMKEngine$EventHandler;	instance	2	HIGH_CAMERA_ROUTING_OR_ISP
classes4.dex	com.google.android.libraries.barhopper.BarhopperV3	NULL_NATIVE_CONTEXT	J	static	26	GENERAL_NATIVE_DEPENDENCY
classes4.dex	com.google.android.libraries.barhopper.BarhopperV3	nativeContext	J	instance	2	GENERAL_NATIVE_DEPENDENCY
classes4.dex	com.google.android.renderscript.Toolkit	INSTANCE	Lcom/google/android/renderscript/Toolkit;	static	25	GENERAL_NATIVE_DEPENDENCY
classes4.dex	com.google.android.renderscript.Toolkit	nativeHandle	J	static	10	GENERAL_NATIVE_DEPENDENCY
classes4.dex	com.morphoinc.core.MorphoImageRefiner	mNative	J	instance	2	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.morphoinc.core.MorphoPanoramaGP3	mNative	J	instance	2	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.morphoinc.core.MorphoPanoramaGP3	mNativeOutputInfo	J	instance	2	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.morphoinc.core.MorphoPanoramaGP	mNative	J	instance	2	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.morphoinc.core.MorphoSensorFusion	mNative	J	instance	2	HIGH_CAMERA_ROUTING_OR_ISP
classes4.dex	com.morphoinc.rapideffect.jni.MorphoEffectFilter	mEffectEngineHandler	J	instance	2	GENERAL_NATIVE_DEPENDENCY
classes4.dex	com.nothing.algolib.aimoon.AiMoonJni	sHandle	J	static	10	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.nothing.algolib.aimoon.AiMoonJniV2	sHandle	J	static	10	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.nothing.algolib.altekColorFringeReduction.AltekColorFringeReductionUtil	sHandle	J	static	10	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.nothing.algolib.beautyshot.BeautyShotUtil	sHandle	J	static	10	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.nothing.algolib.beautyshot.BeautyShotUtilV2	sHandle	J	static	10	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.nothing.algolib.bokeh.DualBokehJni	sHandle	J	static	10	HIGH_CAMERA_ROUTING_OR_ISP
classes4.dex	com.nothing.algolib.darkvision.DarkVisionUtil	sHandler	J	static	10	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.nothing.algolib.distortioncorrection.DistortionCorrectionUtil	sHandle	J	static	10	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.nothing.algolib.hdr5capture.Hdr5CaptureUtil	mHandle	J	static	10	HIGH_CAMERA_ROUTING_OR_ISP
classes4.dex	com.nothing.algolib.hdrdetection.HdrDetectionUtil	sHandle	J	static	10	HIGH_CAMERA_ROUTING_OR_ISP
classes4.dex	com.nothing.algolib.lensstaindetection.LensstainDetection	sHandle	J	static	10	HIGH_CAMERA_ROUTING_OR_ISP
classes4.dex	com.nothing.algolib.llhdrcapture.LowLightHdrUtil	sHandle	J	static	10	HIGH_CAMERA_ROUTING_OR_ISP
classes4.dex	com.nothing.algolib.maskdetection.MaskDetectionUtil	sHandle	J	static	10	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.nothing.algolib.notedetect.NoteDetectUtil	sHandle	J	static	10	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.nothing.algolib.offlineproc.OfflineProcServer	mNativeCallback	J	instance	1	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.nothing.algolib.rawdeepdenoise.RawDeepDenoiseUtil	sHandle	J	static	10	HIGH_CAMERA_ROUTING_OR_ISP
classes4.dex	com.nothing.algolib.rawdeepdenoise.RawDeepDenoiseUtilV2	sHandle	J	static	10	HIGH_CAMERA_ROUTING_OR_ISP
classes4.dex	com.nothing.algolib.rawrps.RawRpsUtil	sHandle	J	static	10	HIGH_CAMERA_ROUTING_OR_ISP
classes4.dex	com.nothing.algolib.scenedetection.SceneDetectionUtil	sHandler	J	static	10	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.nothing.algolib.scenedetection.SceneDetectionUtilV2	sHandler	J	static	10	MEDIUM_IMAGE_PROCESSING
classes4.dex	com.nothing.algolib.singlecambokeh.SingleCamBokehUtil	sHandle	J	static	10	HIGH_CAMERA_ROUTING_OR_ISP
classes4.dex	com.nothing.algolib.singlecambokeh.SingleCamBokehUtilV2	mHandle	J	instance	0	HIGH_CAMERA_ROUTING_OR_ISP
classes4.dex	com.nothing.algolib.singlecambokeh.SingleCamBokehUtilV3	mHandle	J	instance	0	HIGH_CAMERA_ROUTING_OR_ISP
