path	size	sha256	class	machine	buildId	soname	needed	exports	imports	jniExports	jniOnLoad	registerNatives	status	registrationImports
lib/arm64-v8a/libmorpho_camera_util.so	9928	e47cda57c980fa4b2e2bec7007b0eb945fcfc6182fef190e857a6d6c1dbfc1a2	ELF64	AArch64	e5020093b6a0c58b14631bad741c988c24673ebf	libmorpho_camera_util.so	libEGL.so,libGLESv3.so,libandroid.so,libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so,libz.so	9	7	2	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libmorpho_imagerefiner_jni.so	14096	af808107f8ee326ab483117246f8f1d435b2b873b1fccaf075d31a95a6050ccf	ELF64	AArch64	9403d535d82e7fc4f309415d1b44c0926b0fab75	libmorpho_imagerefiner_jni.so	libEGL.so,libGLESv3.so,libandroid.so,libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so,libmorpho_ImageRefiner.so,libz.so	28	24	9	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libmorpho_memory_allocator.so	5760	5908ed16bdb7370f5f2749dabacd9b22919922e972809cc59258679e61a036ab	ELF64	AArch64	977d75528367192d6636d4a03c03cef4b4535dee	libmorpho_memory_allocator.so	libEGL.so,libGLESv3.so,libandroid.so,libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so,libz.so	9	5	2	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libmorpho_panorama_gp3_jni.so	42832	c2f267b502a90f8472e0ede7486b663a9fb1429f5ec20802c1f6aa2ff6a72bdf	ELF64	AArch64	87c31b5ccfce766a00949c7d739001355f554b47	libmorpho_panorama_gp3_jni.so	libEGL.so,libGLESv3.so,libandroid.so,libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so,libmorpho_PanoramaGP3.so,libz.so	47	39	39	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libmorpho_panorama_gp_jni.so	30480	67603ccc65596daf39ff6ca018ec58912206bb5218cf452fa25191317dae6f0d	ELF64	AArch64	c2ab74e20532006826673991768aa2df0a9c81d3	libmorpho_panorama_gp_jni.so	libEGL.so,libGLESv3.so,libandroid.so,libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so,libmorpho_PanoramaGP.so,libz.so	46	41	26	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libmorpho_rapid_effect_jni.so	9024328	883c1a3b88891710a64f31d4740e39613e7b0d3e8e42f0bae885ed5ca56c844f	ELF64	AArch64	f59f82f6f4c6842311f77dec55ac85e965902604	libmorpho_rapid_effect_jni.so	libEGL.so,libGLESv2.so,libGLESv3.so,libandroid.so,libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so,libz.so	1803	114	26	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	dlopen|0x0000000000000000|0;dlsym|0x0000000000000000|0
lib/arm64-v8a/libmorpho_sensor_fusion.so	59144	1c4ca52f41931b9620ccd28149c3eb6e61bf0e49b282131bc4a2882e804d092b	ELF64	AArch64	233d607ba092afbfba8a79e251e5726355068870	libmorpho_sensor_fusion.so	libc.so,libdl.so,libm.so,libstdc++.so	111	9	15	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libmorpho_sensor_fusion_jni.so	9992	8441551b238a53d00f360e1df11f1d49e35c2207aad89f5cd7ba39af83247d64	ELF64	AArch64	fbab7e439971d49d9842922027b2ae6569d8da44	libmorpho_sensor_fusion_jni.so	libEGL.so,libGLESv3.so,libandroid.so,libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so,libmorpho_sensor_fusion.so,libz.so	22	21	15	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libmpbase.so	5408	6187fbff994699aca4ec22b27aee4b31e758093862135abbe31c6f08d7cb0e0c	ELF64	AArch64		libmpbase.so	libc.so	21	7	0	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libnoteDetect.so	9592	e04fda3cf8e6e73d8509b76907a1f63995e09fe9e7d9b0b6a615df78509a93eb	ELF64	AArch64	ee1695104f8717415a136d450ca85252def0c3b8	libnoteDetect.so	libc.so,libdl.so,liblog.so,libm.so,libmpbase.so,libnoteengine.so	11	11	5	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libportraitRepair.so	9744	75ce146e1edb5e85572ac4bb425466caa8ec0e4ff8f5d44af514a29b308f34c6	ELF64	AArch64	45720991505ebb2905b96e8e1274a787b2015078	libportraitRepair.so	libandroid.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libportrait_repair_apu.so	7	21	4	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/librawhdrcapture.so	51296	3f406dc69c40cd3a462a4e406d6347dd9963550020296cbaff1cb70c1ac256a1	ELF64	AArch64	f309659ce34c8461f07089e25cb4bad716524e31	librawhdrcapture.so	libandroid.so,libarcsoft_qnnhtp.so,libarcsoft_t_hdr_raw.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmpbase.so	24	54	4	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/librawhdrfrontcapture.so	53432	6de33d34e69846bc5c95685a14a3815fe9b27f2f9a071c967de3817dadd635bb	ELF64	AArch64	869b44f6419941f71eb92d64098d89f4be3cab20	librawhdrfrontcapture.so	libandroid.so,libarcsoft_qnnhtp.so,libarcsoft_t_hdr_raw_front.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmpbase.so	24	53	4	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/librawhdrmtkcapture.so	44928	297e6bf477b18cd2537d37da259ed16d07c060fa7bf6781d5c249e63dfd412e4	ELF64	AArch64	291fb9b6bfc6fda1e5ed0e016e7edb36f912bddd	librawhdrmtkcapture.so	libandroid.so,libarc.ion.so,libarcsoft_hdr_raw.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmpbase.so	24	52	4	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libremove_purple_edge.so	11504	473e277d593f59984bc509ba46284043ebdca15a54da3b6b30c51410caa06795	ELF64	AArch64	b92da9e02ef5183d69f6e5081e866348c750cad2	libremove_purple_edge.so	libalCFR.so,libandroid.so,libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so,libmpbase.so	14	18	8	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/librender_lib.so	12555376	ad8a3ffa03c09622e5188515fd3169644a8ca7c6ce7a706db3736151f6ac9bff	ELF64	AArch64	c4731d703651214f1cf2e463cea661bd7564e67c	librender_lib.so	libEGL.so,libGLESv3.so,libc.so,libdl.so,liblog.so,libm.so,libstmobile_effect.so	35825	347	42	1	0	DYNAMIC_REGISTRATION_CANDIDATE	dlopen|0x0000000000000000|0;dlsym|0x0000000000000000|0
lib/arm64-v8a/librenderscript-toolkit.so	387256	7ccfb3469c6936dcac90c8c17c89705f17442d2b5fed7cea44e69bb7b2673860	ELF64	AArch64	be2735ead19d8790719b7c90de0b54c455520ddb	librenderscript-toolkit.so	libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so	750	73	22	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	dlsym|0x0000000000000000|0;dlopen|0x0000000000000000|0
lib/arm64-v8a/libscanner.so	4956104	4f253741619ac546951348ef7c9518961a0e2cf42eef97a9471440528ce21eaf	ELF64	AArch64	5d12a08414cb645bec9665c739a661ce7d9ac0ad	libscanner.so	libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so,libstdc++.so,libz.so	2679	153	0	1	0	DYNAMIC_REGISTRATION_CANDIDATE	
lib/arm64-v8a/libscene_detection_util.so	8376	3f11f140b5be17b0aadc41d2a42c7d07c2c025a6b12de2cec7570d8a0b53489d	ELF64	AArch64	cd89df3e87afcb2e2febdc45125298e142fc0c2f	libscene_detection_util.so	libandroid.so,libarcsoft_aiscenedetection.so,libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so,libmpbase.so	9	11	5	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libscene_detection_util_v2.so	258664	6acc271eb25cb18ae72de33bbbfee8b4aacc2cea1233fb99b55a457bba831e53	ELF64	AArch64	40d07f9bb85779ab941b2f41fbd3fd1694051d47	libscene_detection_util_v2.so	libanc_scene.so,libandroid.so,libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so,libmpbase.so	302	51	3	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libsinglecamBokeh.so	47992	e694007b2bd6332424623b67f21a388ce058fd4bfed2c32c620aedabc53a7d25	ELF64	AArch64	ec9d76afe78924f562d6c56823bcb26b8f00b7d2	libsinglecamBokeh.so	libandroid.so,libarcsoft_singlecam_bokeh.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmpbase.so	33	60	8	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libsinglecamBokehV2.so	40848	f5479da4ab8e90f554ebea1b6e174eba3bb1e1a9fcc6ac39cafd55fa5a9fd859	ELF64	AArch64	9373c888cca031682216c5a8affe2869661b4420	libsinglecamBokehV2.so	libandroid.so,libarcsoft_scbokeh_image.so,libarcsoft_scbokeh_preview.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmpbase.so	18	50	6	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
