dex	method	class	invokeCount	status	literals	matches
classes.dex	Landroidx/camera/core/ImageProcessingUtil;-><clinit>()V	androidx.camera.core.ImageProcessingUtil	1	PACKAGED_LIBRARY_MATCH	image_processing_util_jni	image_processing_util_jni|lib/arm64-v8a/libimage_processing_util_jni.so
classes3.dex	Landroidx/graphics/path/PathIteratorImpl;-><clinit>()V	androidx.graphics.path.PathIteratorImpl	1	PACKAGED_LIBRARY_MATCH	androidx.graphics.path	androidx.graphics.path|lib/arm64-v8a/libandroidx.graphics.path.so
classes4.dex	Lcom/arcsoft/camera/burstpmk/BurstPMKEngine;-><clinit>()V	com.arcsoft.camera.burstpmk.BurstPMKEngine	1	NO_EXACT_PACKAGED_LIBRARY_LITERAL_MATCH	arcsoft_panorama	
classes4.dex	Lcom/arcsoft/camera/burstpmk/BurstPMKEngine;->loadJNILib(Ljava/lang/String;)V	com.arcsoft.camera.burstpmk.BurstPMKEngine	1	PACKAGED_LIBRARY_MATCH	jni_burstpmk	jni_burstpmk|lib/arm64-v8a/libjni_burstpmk.so
classes4.dex	Lcom/arcsoft/imagepp/ArcSoftPPEngine;-><clinit>()V	com.arcsoft.imagepp.ArcSoftPPEngine	1	PACKAGED_LIBRARY_MATCH	ArcSoftPPEngine,jni_arcsoft_camera_pp_engine	jni_arcsoft_camera_pp_engine|lib/arm64-v8a/libjni_arcsoft_camera_pp_engine.so
classes4.dex	Lcom/fmui/media/documentscannersdk/Scanner;-><clinit>()V	com.fmui.media.documentscannersdk.Scanner	1	PACKAGED_LIBRARY_MATCH	Scanner,scanner	scanner|lib/arm64-v8a/libscanner.so
classes4.dex	Lcom/google/android/libraries/barhopper/BarhopperV3;-><init>()V	com.google.android.libraries.barhopper.BarhopperV3	1	PACKAGED_LIBRARY_MATCH	barhopper_v3	barhopper_v3|lib/arm64-v8a/libbarhopper_v3.so
classes4.dex	Lcom/google/android/renderscript/Toolkit;-><clinit>()V	com.google.android.renderscript.Toolkit	1	PACKAGED_LIBRARY_MATCH	renderscript-toolkit	renderscript-toolkit|lib/arm64-v8a/librenderscript-toolkit.so
classes4.dex	Lcom/morphoinc/core/MorphoImageRefiner;-><clinit>()V	com.morphoinc.core.MorphoImageRefiner	1	PACKAGED_LIBRARY_MATCH	MorphoImageRefiner,morpho_imagerefiner_jni	morpho_imagerefiner_jni|lib/arm64-v8a/libmorpho_imagerefiner_jni.so
classes4.dex	Lcom/morphoinc/core/MorphoPanoramaGP3;-><clinit>()V	com.morphoinc.core.MorphoPanoramaGP3	1	PACKAGED_LIBRARY_MATCH	MorphoPanoramaGP3,morpho_panorama_gp3_jni	morpho_panorama_gp3_jni|lib/arm64-v8a/libmorpho_panorama_gp3_jni.so
classes4.dex	Lcom/morphoinc/core/MorphoPanoramaGP;-><clinit>()V	com.morphoinc.core.MorphoPanoramaGP	1	PACKAGED_LIBRARY_MATCH	MorphoPanoramaGP,morpho_panorama_gp_jni	morpho_panorama_gp_jni|lib/arm64-v8a/libmorpho_panorama_gp_jni.so
classes4.dex	Lcom/morphoinc/core/MorphoSensorFusion;-><clinit>()V	com.morphoinc.core.MorphoSensorFusion	1	PACKAGED_LIBRARY_MATCH	morpho_sensor_fusion_jni	morpho_sensor_fusion_jni|lib/arm64-v8a/libmorpho_sensor_fusion_jni.so
classes4.dex	Lcom/morphoinc/rapideffect/jni/MorphoEffectFilter;-><clinit>()V	com.morphoinc.rapideffect.jni.MorphoEffectFilter	1	PACKAGED_LIBRARY_MATCH	EffectFilterJNI,morpho_rapid_effect_jni	morpho_rapid_effect_jni|lib/arm64-v8a/libmorpho_rapid_effect_jni.so
classes4.dex	Lcom/morphoinc/utils/NativeMemoryAllocator;-><clinit>()V	com.morphoinc.utils.NativeMemoryAllocator	1	PACKAGED_LIBRARY_MATCH	MorphoNativeMemoryAllocator,morpho_memory_allocator	morpho_memory_allocator|lib/arm64-v8a/libmorpho_memory_allocator.so
classes4.dex	Lcom/morphoinc/utils/camera/CameraJNI;-><clinit>()V	com.morphoinc.utils.camera.CameraJNI	1	PACKAGED_LIBRARY_MATCH	CameraJNI,morpho_camera_util	morpho_camera_util|lib/arm64-v8a/libmorpho_camera_util.so
classes4.dex	Lcom/morphoinc/utils/os/BuildPropJNI;-><clinit>()V	com.morphoinc.utils.os.BuildPropJNI	1	NO_EXACT_PACKAGED_LIBRARY_LITERAL_MATCH	buildpropJNI,morpho_buildprop_util	
classes4.dex	Lcom/nothing/algolib/aimoon/AiMoonJni;-><clinit>()V	com.nothing.algolib.aimoon.AiMoonJni	1	PACKAGED_LIBRARY_MATCH	AiMoonJni,aimoon	aimoon|lib/arm64-v8a/libaimoon.so
classes4.dex	Lcom/nothing/algolib/aimoon/IAiMoonJni$LibLoader;-><clinit>()V	com.nothing.algolib.aimoon.IAiMoonJni$LibLoader	1	PACKAGED_LIBRARY_MATCH	IAiMoonJni.LibLoader,aimoon,aimoonv2	aimoon|lib/arm64-v8a/libaimoon.so;aimoonv2|lib/arm64-v8a/libaimoonv2.so
classes4.dex	Lcom/nothing/algolib/altekColorFringeReduction/AltekColorFringeReductionUtil;-><clinit>()V	com.nothing.algolib.altekColorFringeReduction.AltekColorFringeReductionUtil	1	PACKAGED_LIBRARY_MATCH	AltekColorFringeReductionUtil,alCFR_jni	alCFR_jni|lib/arm64-v8a/libalCFR_jni.so
classes4.dex	Lcom/nothing/algolib/beautyshot/IBeautyShot$LibLoader;-><clinit>()V	com.nothing.algolib.beautyshot.IBeautyShot$LibLoader	1	PACKAGED_LIBRARY_MATCH	IBeautyShot,beautyShot,beautyShotV2	beautyShot|lib/arm64-v8a/libbeautyShot.so;beautyShotV2|lib/arm64-v8a/libbeautyShotV2.so
classes4.dex	Lcom/nothing/algolib/bokeh/DualBokehJni;-><clinit>()V	com.nothing.algolib.bokeh.DualBokehJni	1	PACKAGED_LIBRARY_MATCH	dualCamBokeh	dualCamBokeh|lib/arm64-v8a/libdualCamBokeh.so
classes4.dex	Lcom/nothing/algolib/boost/Boost;-><clinit>()V	com.nothing.algolib.boost.Boost	1	PACKAGED_LIBRARY_MATCH	BoostAlgo	BoostAlgo|lib/arm64-v8a/libBoostAlgo.so
classes4.dex	Lcom/nothing/algolib/darkvision/DarkVisionUtil;-><clinit>()V	com.nothing.algolib.darkvision.DarkVisionUtil	1	PACKAGED_LIBRARY_MATCH	darkVision	darkVision|lib/arm64-v8a/libdarkVision.so
classes4.dex	Lcom/nothing/algolib/dehaze/DehazeUtil;-><clinit>()V	com.nothing.algolib.dehaze.DehazeUtil	1	PACKAGED_LIBRARY_MATCH	DehazeUtil,dehaze	dehaze|lib/arm64-v8a/libdehaze.so
classes4.dex	Lcom/nothing/algolib/distortioncorrection/DistortionCorrectionUtil;-><clinit>()V	com.nothing.algolib.distortioncorrection.DistortionCorrectionUtil	1	PACKAGED_LIBRARY_MATCH	com.nothing.camera.distortioncorrection.dump,distortionCorrection	distortionCorrection|lib/arm64-v8a/libdistortionCorrection.so
classes4.dex	Lcom/nothing/algolib/dualCamBokeh/IDualCamBokeh$LibLoader;-><clinit>()V	com.nothing.algolib.dualCamBokeh.IDualCamBokeh$LibLoader	1	PACKAGED_LIBRARY_MATCH	IDualCamBokeh,dualCamBokeh,dualCamBokehV2	dualCamBokeh|lib/arm64-v8a/libdualCamBokeh.so;dualCamBokehV2|lib/arm64-v8a/libdualCamBokehV2.so
classes4.dex	Lcom/nothing/algolib/facialrestoration/FacialRestorationUtil;-><clinit>()V	com.nothing.algolib.facialrestoration.FacialRestorationUtil	1	PACKAGED_LIBRARY_MATCH	facialRestoration	facialRestoration|lib/arm64-v8a/libfacialRestoration.so
classes4.dex	Lcom/nothing/algolib/hdr5capture/Hdr5CaptureUtil;-><clinit>()V	com.nothing.algolib.hdr5capture.Hdr5CaptureUtil	1	PACKAGED_LIBRARY_MATCH	hdr5capture	hdr5capture|lib/arm64-v8a/libhdr5capture.so
classes4.dex	Lcom/nothing/algolib/hdrcapture/HdrCaptureUtil;-><clinit>()V	com.nothing.algolib.hdrcapture.HdrCaptureUtil	1	PACKAGED_LIBRARY_MATCH	com.nothing.camera.hdr.dump,hdrcapture	hdrcapture|lib/arm64-v8a/libhdrcapture.so
