dex	class	name	descriptor	flags	priority	status	matches
classes.dex	androidx.camera.core.ImageProcessingUtil	nativeConvertAndroid420ToABGR	(Ljava/nio/ByteBuffer;ILjava/nio/ByteBuffer;ILjava/nio/ByteBuffer;IIILandroid/view/Surface;Ljava/nio/ByteBuffer;IIIIII)I	266	HIGH_CAMERA_ROUTING_OR_ISP	EXACT_EXPORTED_JNI_SYMBOL_MATCH	lib/arm64-v8a/libimage_processing_util_jni.so|Java_androidx_camera_core_ImageProcessingUtil_nativeConvertAndroid420ToABGR|0x00000000000066d8|1144
classes.dex	androidx.camera.core.ImageProcessingUtil	nativeConvertAndroid420ToBitmap	(Ljava/nio/ByteBuffer;ILjava/nio/ByteBuffer;ILjava/nio/ByteBuffer;IIILandroid/graphics/Bitmap;III)I	266	HIGH_CAMERA_ROUTING_OR_ISP	EXACT_EXPORTED_JNI_SYMBOL_MATCH	lib/arm64-v8a/libimage_processing_util_jni.so|Java_androidx_camera_core_ImageProcessingUtil_nativeConvertAndroid420ToBitmap|0x0000000000006b50|292
classes.dex	androidx.camera.core.ImageProcessingUtil	nativeCopyBetweenByteBufferAndBitmap	(Landroid/graphics/Bitmap;Ljava/nio/ByteBuffer;IIIIZ)I	266	HIGH_CAMERA_ROUTING_OR_ISP	EXACT_EXPORTED_JNI_SYMBOL_MATCH	lib/arm64-v8a/libimage_processing_util_jni.so|Java_androidx_camera_core_ImageProcessingUtil_nativeCopyBetweenByteBufferAndBitmap|0x000000000000630c|204
classes.dex	androidx.camera.core.ImageProcessingUtil	nativeRotateYUV	(Ljava/nio/ByteBuffer;ILjava/nio/ByteBuffer;ILjava/nio/ByteBuffer;IILjava/nio/ByteBuffer;IILjava/nio/ByteBuffer;IILjava/nio/ByteBuffer;IILjava/nio/ByteBuffer;Ljava/nio/ByteBuffer;Ljava/nio/ByteBuffer;III)I	266	HIGH_CAMERA_ROUTING_OR_ISP	EXACT_EXPORTED_JNI_SYMBOL_MATCH	lib/arm64-v8a/libimage_processing_util_jni.so|Java_androidx_camera_core_ImageProcessingUtil_nativeRotateYUV|0x0000000000006c74|2012
classes.dex	androidx.camera.core.ImageProcessingUtil	nativeShiftPixel	(Ljava/nio/ByteBuffer;ILjava/nio/ByteBuffer;ILjava/nio/ByteBuffer;IIIIIIII)I	266	HIGH_CAMERA_ROUTING_OR_ISP	EXACT_EXPORTED_JNI_SYMBOL_MATCH	lib/arm64-v8a/libimage_processing_util_jni.so|Java_androidx_camera_core_ImageProcessingUtil_nativeShiftPixel|0x00000000000063d8|440
classes.dex	androidx.camera.core.ImageProcessingUtil	nativeWriteJpegToSurface	([BLandroid/view/Surface;)I	266	HIGH_CAMERA_ROUTING_OR_ISP	EXACT_EXPORTED_JNI_SYMBOL_MATCH	lib/arm64-v8a/libimage_processing_util_jni.so|Java_androidx_camera_core_ImageProcessingUtil_nativeWriteJpegToSurface|0x0000000000006590|328
classes3.dex	androidx.graphics.path.ConicConverter	internalConicToQuadratics	([FI[FFF)I	274	GENERAL_NATIVE_DEPENDENCY	UNRESOLVED_OR_DYNAMIC_REGISTRATION	
classes3.dex	androidx.graphics.path.PathIteratorPreApi34Impl	createInternalPathIterator	(Landroid/graphics/Path;IF)J	274	GENERAL_NATIVE_DEPENDENCY	UNRESOLVED_OR_DYNAMIC_REGISTRATION	
classes3.dex	androidx.graphics.path.PathIteratorPreApi34Impl	destroyInternalPathIterator	(J)V	274	GENERAL_NATIVE_DEPENDENCY	UNRESOLVED_OR_DYNAMIC_REGISTRATION	
classes3.dex	androidx.graphics.path.PathIteratorPreApi34Impl	internalPathIteratorHasNext	(J)Z	274	GENERAL_NATIVE_DEPENDENCY	UNRESOLVED_OR_DYNAMIC_REGISTRATION	
classes3.dex	androidx.graphics.path.PathIteratorPreApi34Impl	internalPathIteratorNext	(J[FI)I	274	GENERAL_NATIVE_DEPENDENCY	UNRESOLVED_OR_DYNAMIC_REGISTRATION	
classes3.dex	androidx.graphics.path.PathIteratorPreApi34Impl	internalPathIteratorPeek	(J)I	274	GENERAL_NATIVE_DEPENDENCY	UNRESOLVED_OR_DYNAMIC_REGISTRATION	
