key	access	api	method	dex	codeOffset	instructionOffset	literalDefault	evidenceClass
android.intent.extras.CAMERA_PREFIX_FLAG_WIDGET	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/camera/activity/CameraActivity;->onNewIntent(Landroid/content/Intent;)V	classes4.dex	0x3a1358	0x86		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_FLAG_WIDGET	WRITE	Landroid/content/Intent;->putExtra(Ljava/lang/String;Ljava/lang/String;)Landroid/content/Intent;	Lcom/nothing/camera/activity/CameraActivity;->onNewIntent(Landroid/content/Intent;)V	classes4.dex	0x3a1358	0xef		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_FLAG_WIDGET	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/camera/ui/uinode/CameraTopBarNode$3;->onChanged(Lcom/nothing/common/preference/DataRepository;)V	classes4.dex	0x56eeb0	0x27		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_FLAG_WIDGET	REMOVE	Landroid/content/Intent;->removeExtra(Ljava/lang/String;)V	Lcom/nothing/common/preset/PresetDataManager;->updateDataDepot(Lcom/nothing/common/setting/SettingContextOutInterface;ZIIZ)V	classes5.dex	0x1fdd44	0x1a		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_FLAG_WIDGET	WRITE	Landroid/content/Intent;->putExtra(Ljava/lang/String;Ljava/lang/String;)Landroid/content/Intent;	Lcom/nothing/common/preset/PresetDataManager;->updateDataDepot(Lcom/nothing/common/setting/SettingContextOutInterface;ZIIZ)V	classes5.dex	0x1fdd44	0x35		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_FLAG_WIDGET	WRITE	Landroid/content/Intent;->putExtra(Ljava/lang/String;Ljava/lang/String;)Landroid/content/Intent;	Lcom/nothing/common/preset/PresetDataParser;->paramsLoadInIntent(Lcom/nothing/common/preset/PresetData;Landroid/content/Intent;)V	classes5.dex	0x201844	0x83		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_FLAG_WIDGET	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/DataDepot;-><init>(Landroid/content/Context;Landroid/content/Intent;)V	classes5.dex	0x20e774	0x43		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_FLAG_WIDGET	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/DataDepot;->setLocalId(Landroid/content/Intent;I)V	classes5.dex	0x20efac	0x24		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_FLAG_WIDGET	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetId(Landroid/content/Intent;)Ljava/lang/String;	classes5.dex	0x210554	0x2		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_FLAG_WIDGET	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/SettingContext;->onWidgetIdChanged(Landroid/content/Intent;)V	classes5.dex	0x2283d8	0x2		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_FLAG_WIDGET	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/SettingContext;->updateDataDepot(Landroid/content/Intent;I)V	classes5.dex	0x228b50	0x13		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_FLAG_WIDGET	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/SettingContext;->updateLaunchIntent(Landroid/content/Intent;Z)V	classes5.dex	0x228ce0	0x2a		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_FLASH	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x119		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_FOCALLENGTH_VALUE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x2		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_GLOBAL_EXPOSURE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x171		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_GRID	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0xd5		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_HDR	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0xe1		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_MAIN_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/camera/activity/CameraActivity;->onNewIntent(Landroid/content/Intent;)V	classes4.dex	0x3a1358	0x49		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_MAIN_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseCameraMode(Landroid/content/Intent;)V	classes5.dex	0x21279c	0x188		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_MAIN_MODE	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->tryToParseIdAndModeFromNewIntent(Landroid/content/Intent;Z)V	classes5.dex	0x212d48	0x171		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_MOTION_PHOTO	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->parseWidgetParam(Landroid/content/Intent;I)Ljava/lang/String;	classes5.dex	0x2105d0	0x22		VERIFIED_STATIC_CALL_SITE
android.intent.extras.CAMERA_PREFIX_MOTION_PHOTO	READ	Landroid/content/Intent;->getStringExtra(Ljava/lang/String;)Ljava/lang/String;	Lcom/nothing/common/setting/LaunchIntentParser;->tryToGetIntentCameraId(Landroid/content/Intent;)I	classes5.dex	0x20ff28	0x1ac		VERIFIED_STATIC_CALL_SITE
